,Term,Age1,MUDI,Avg Transactions,Avg Bal,Avg Turnover,Time with Bank Years,Total Salary,Multiple Customers,Single Purpose,Outcome
907,24,5701,1,32,943,13185,6,180,0,1,G
908,48,3406,0,13,151,1180,3,60,1,1,G
909,48,2609,0,37,482,2175,10,10,0,1,G
910,12,5501,0,55,3274,17737,10,98,1,1,G
911,48,5508,3,5,23,186,10,24,0,0,G
912,60,4504,2,60,826,5825,10,70,0,0,G
913,12,3506,5,12,838,8428,17,30,0,1,G
916,48,5511,0,0,0,0,9,33,0,1,G
921,48,3911,2,40,894,2993,10,39,0,0,G
923,36,5200,2,44,1318,6083,13,51,0,1,G
924,36,3202,1,12,622,2134,1,140,1,1,G
925,18,3711,1,48,1461,7074,13,51,0,1,G
926,60,2903,0,50,2168,3801,11,64,1,1,G
927,48,4909,2,21,907,3021,10,40,0,1,G
928,42,3500,2,9,179,522,15,0,0,0,G
930,60,2905,3,44,136,1651,15,10,0,0,G
931,12,3600,5,39,286,2849,2,49,0,1,G
932,48,5711,0,25,2950,3488,5,53,0,1,G
934,24,2502,2,13,95,348,7,10,0,0,B
939,24,3502,6,41,2163,5244,9,54,1,0,G
940,60,5311,0,0,0,0,10,58,1,1,G
942,48,5107,0,43,5268,3273,14,26,0,1,G
943,36,3703,2,81,271,7167,4,80,1,1,G
945,24,3805,4,28,5538,2280,17,16,0,0,G
946,18,1909,3,33,149,1432,2,22,0,1,G
947,120,3003,0,34,5540,17179,11,79,1,0,G
949,24,5600,1,4,60,568,1,22,0,1,G
951,60,4407,0,72,17617,23555,16,48,0,0,G
952,60,6002,0,8,1613,1418,12,131,0,0,G
953,30,2204,0,15,485,1976,2,25,0,1,G
957,60,2008,4,4,82,391,4,28,0,0,B
959,60,3103,0,42,1448,6116,1,50,0,0,G
961,60,4901,0,14,957,4370,10,49,1,1,G
964,84,3601,4,42,66,3091,1,27,1,0,G
965,3,5602,1,27,210,4712,10,46,0,0,G
966,60,5009,0,0,481,0,17,86,1,1,G
969,60,4902,1,12,3467,3804,5,24,0,1,G
972,36,4804,0,41,384,3220,10,39,0,1,G
973,48,4009,0,2,49507,49762,16,41,0,1,G
974,60,6511,6,1,3673,33,12,3,0,0,G
975,48,4108,0,28,5050,2460,4,26,0,1,G
976,12,4009,0,25,3886,5315,9,60,1,0,G
978,36,5007,0,9,866,1670,16,23,0,1,G
979,12,3111,6,50,275,3597,10,36,0,1,G
981,48,6607,0,10,1499,2359,9,23,0,1,G
982,30,3000,5,26,215,3881,9,0,0,0,B
987,36,3101,4,17,65,1788,10,27,0,0,G
989,24,3105,0,18,99,2314,9,39,0,0,G
992,36,5004,1,96,2657,14471,16,167,1,1,G
995,36,4506,1,66,3691,8344,10,63,0,1,G
